date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/09	A	D7	232	pho2∆	5076	371777	1957	1506.3	2649.7000000000003	2156.3	pass
02/09	A	D8	232	pho2∆	5081	370476	1401.5	1196.3	2043.9	1749.7	pass
02/09	A	D10	235	pho2∆	5174	330185	1979.5	3613.3	3741.9	6227.9000000000005	pass
02/09	A	D11	235	pho2∆	5096	349599.5	2700.5	4651.3	4488.4	7440.4000000000005	pass
02/09	A	D12	235	pho2∆	5140	346537.5	2545	4113.3	4452.299999999999	6905.4000000000005	pass
02/09	A	E1	194	PHO2	5103	429098	1605.5	24065.3	2017.8000000000002	30717.5	pass
02/09	A	E2	215	PHO2	5217	382829	1486.5	8537.3	2231.4	12110.599999999999	pass
02/09	A	E3	215	PHO2	4968	344143.5	737.5	4788.8	1448.3000000000002	7608.7	pass
02/09	A	E4	215	PHO2	5106	349547.5	590.5	5030.3	1163.6	7933.7	pass
02/09	A	E5	194	PHO2	5320	414300.5	1263.5	20328.3	1736.8000000000002	27102.5	pass
02/09	A	E6	212	PHO2	5080	337649	474	4602.8	1054.7000000000003	7559.8	pass
02/09	A	E7	212	PHO2	5126	353719.5	522.5	5267.8	1031	8335.699999999999	pass
02/09	A	E8	212	PHO2	5061	343692	507.5	4828.3	1073.3000000000002	7900.7	pass
02/09	A	E9	194	PHO2	5198	410191.5	1126.5	18922.8	1555	25770.6	pass
02/09	A	E10	219	PHO2	5155	450925	1092.5	28611.3	1218.8000000000002	34974.700000000004	pass
02/09	A	E11	219	PHO2	5110	440779	1070.5	38797.8	1293.8000000000002	48893.700000000004	pass
02/09	A	E12	219	PHO2	4964	445807.5	1273.5	36933.3	1479.6	45554.100000000006	pass
02/09	A	F1	NA	pho2∆	5182	394352	32.5	607.3	100.10000000000014	845.4	pass
02/09	A	F2	215	pho2∆	5065	350917	1679.5	9525.3	2902.6	15217.099999999999	pass
02/09	A	F3	215	pho2∆	4788	361708.5	1866.5	9566.3	2948.5	14602.8	pass
02/09	A	F4	215	pho2∆	5180	347088	1118.5	7080.3	2071.7000000000003	11628.8	pass
02/09	A	F5	NA	PHO2	5230	381902	58.5	423.3	171.70000000000005	606.5	pass
02/09	A	F6	212	pho2∆	5172	345738	832.5	6958.8	1626.1	11348.099999999999	pass
02/09	A	F7	212	pho2∆	5008	354890.5	1058.5	8255.8	1885.8000000000002	13210.199999999999	pass
02/09	A	F8	212	pho2∆	5191	349207	928.5	7718.3	1748.5	12434.199999999999	pass
02/09	A	F10	219	pho2∆	5114	348413.5	853.5	4162.8	1580	6626.8	pass
02/09	A	F11	219	pho2∆	5254	355670.5	937	4569.3	1707.5	7216	pass
02/09	A	F12	219	pho2∆	5082	343775.5	923.5	4706.8	1751.1	7710	pass
02/09	A	G1	194	PHO2	5156	449680.5	1709	24513.8	1942.2000000000003	29317.7	pass
02/09	A	G2	209	PHO2	5102	374376.5	1263	8471.8	1994.7000000000003	12443.4	pass
02/09	A	G3	209	PHO2	5072	360961	1038.5	6863.8	1812.6	10674.4	pass
02/09	A	G4	209	PHO2	5089	377377	794.5	6574.3	1298.8000000000002	9442.3	pass
02/09	A	G5	194	PHO2	5195	433249	1629.5	22383.3	2013.5	28528.899999999998	pass
02/09	A	G6	216	PHO2	5251	357858	892.5	1754.3	1561.1	2735.7000000000003	pass
02/09	A	G7	216	PHO2	5125	352967	760.5	1741.3	1420.9	2764.1000000000004	pass
02/09	A	G8	216	PHO2	5283	356711	904.5	1885.3	1634.5	2947.2000000000003	pass
02/09	A	G9	194	PHO2	5267	426894	1231.5	21455.3	1598.7000000000003	27969.3	pass
02/09	A	G10	239	PHO2	1086	481682.5	1640.5	24564.3	1558.4	26561.2	pass
02/09	A	G11	239	PHO2	2910	482200	1718.5	25001.3	1584.9	26193.899999999998	pass
02/09	A	H2	209	pho2∆	5116	359569	1256.5	7810.8	2173.8	12208.3	pass
02/09	A	H3	209	pho2∆	5091	356201	1182.5	7218.3	2081.8	11286.199999999999	pass
02/09	A	H4	209	pho2∆	5116	368752	931	7231.3	1599.4	11072.3	pass
02/09	A	H5	NA	pho2∆	5215	380341	-4.5	514.3	89.40000000000009	738	pass
02/09	A	H6	216	pho2∆	4997	351421	1689.5	3777.3	3035.6	6343	pass
02/09	A	H7	216	pho2∆	5027	334410	794.5	2856.3	1641.4	5023	pass
02/09	A	H8	216	pho2∆	4964	371551	2278	5220.3	3551.7999999999997	7914.2	pass
02/09	A	H9	NA	PHO2	5168	369349.5	7.5	397.3	146.5	599.6999999999999	pass
