date	plasmid	host	CV_BL1.H	CV_YL2.H	CV_FSC.H	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/08	NA	PHO2	0.844	0.169	0.021	D1	9185	396095	111.5	491.3	205.80000000000018	678.5999999999999
02/08	NA	PHO2	0.844	0.169	0.021	F5	5149	384401	4.5	457.3	110.10000000000014	666.9
02/08	NA	PHO2	0.844	0.169	0.021	H9	5144	400126	79	625.3	143.10000000000014	856
02/08	NA	pho2∆	1.662	0.294	0.027	B9	9009	378237	-6.5	913.3	99.60000000000014	1340.3
02/08	NA	pho2∆	1.662	0.294	0.027	F1	5172	382306.5	10	503.3	108.5	726.1999999999999
02/08	NA	pho2∆	1.662	0.294	0.027	H5	5155	397968	24.5	683.3	78	945.0999999999999
02/09	188	PHO2	0.226	0.057	0.014	C2	5143	401761	1069.5	13764.3	1524.7000000000003	18689.399999999998
02/09	188	PHO2	0.226	0.057	0.014	C3	5037	392437	1052.5	14054.3	1571.1	19875.6
02/09	188	PHO2	0.226	0.057	0.014	C4	5076	392017.5	693.5	12602.8	1067.1	17717.2
02/09	188	pho2∆	0.341	0.147	0.036	D2	5116	382576	1136.5	13195.3	1734.5	19357.399999999998
02/09	188	pho2∆	0.341	0.147	0.036	D3	5189	397190	1224.5	14799.3	1750.5	20336.6
02/09	188	pho2∆	0.341	0.147	0.036	D4	5141	369476	602.5	11004.3	1058.7000000000003	16365.599999999999
02/09	209	PHO2	0.227	0.14	0.024	G2	5102	374376.5	1263	8471.8	1994.7000000000003	12443.4
02/09	209	PHO2	0.227	0.14	0.024	G3	5072	360961	1038.5	6863.8	1812.6	10674.4
02/09	209	PHO2	0.227	0.14	0.024	G4	5089	377377	794.5	6574.3	1298.8000000000002	9442.3
02/09	215	PHO2	0.512	0.343	0.058	E2	5217	382829	1486.5	8537.3	2231.4	12110.599999999999
02/09	215	PHO2	0.512	0.343	0.058	E3	4968	344143.5	737.5	4788.8	1448.3000000000002	7608.7
02/09	215	PHO2	0.512	0.343	0.058	E4	5106	349547.5	590.5	5030.3	1163.6	7933.7
02/09	215	pho2∆	0.25	0.163	0.021	F2	5065	350917	1679.5	9525.3	2902.6	15217.099999999999
02/09	215	pho2∆	0.25	0.163	0.021	F3	4788	361708.5	1866.5	9566.3	2948.5	14602.8
02/09	215	pho2∆	0.25	0.163	0.021	F4	5180	347088	1118.5	7080.3	2071.7000000000003	11628.8
02/09	216	pho2∆	0.471	0.302	0.053	H6	4997	351421	1689.5	3777.3	3035.6	6343
02/09	216	pho2∆	0.471	0.302	0.053	H7	5027	334410	794.5	2856.3	1641.4	5023
02/09	216	pho2∆	0.471	0.302	0.053	H8	4964	371551	2278	5220.3	3551.7999999999997	7914.2
02/09	232	pho2∆	0.251	0.217	0.005	D6	5184	373825	1220.5	975.8	1795.8000000000002	1415.5
02/09	232	pho2∆	0.251	0.217	0.005	D7	5076	371777	1957	1506.3	2649.7000000000003	2156.3
02/09	232	pho2∆	0.251	0.217	0.005	D8	5081	370476	1401.5	1196.3	2043.9	1749.7
02/09	234	PHO2	0.235	0.121	0.002	A10	2751	538643	1870.5	47349.3	1395.9	44841.5
02/09	234	PHO2	0.235	0.121	0.002	A11	5773	540909	1208.5	41171.3	818.4000000000001	38624.8
02/09	234	PHO2	0.235	0.121	0.002	A12	1826	541004	1894.5	52541.3	1393.4	49397.8
02/09	234	pho2∆	0.21	0.167	0.05	B10	5158	296022	1492	3525.3	3373.1	6856.2
02/09	234	pho2∆	0.21	0.167	0.05	B11	5035	327028	1968.5	4195.3	3716.7000000000003	7191.4000000000005
02/09	234	pho2∆	0.21	0.167	0.05	B12	5038	316577.5	1322	3002.8	2788.3	5363.6
02/09	NA	PHO2	0.727	0.082	0.018	D1	5222	379994	67.5	359.3	201.60000000000014	522.3
02/09	NA	PHO2	0.727	0.082	0.018	F5	5230	381902	58.5	423.3	171.70000000000005	606.5
02/09	NA	PHO2	0.727	0.082	0.018	H9	5168	369349.5	7.5	397.3	146.5	599.6999999999999
02/09	NA	pho2∆	1.409	0.117	0.028	B9	5244	373079.5	11.5	649.3	144.70000000000005	963.0999999999999
02/09	NA	pho2∆	1.409	0.117	0.028	F1	5182	394352	32.5	607.3	100.10000000000014	845.4
