date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/21	258	pho2∆	0.168	0.221	0.052	A	H10	5101	395923	3348.5	12911.3	4814.200000000001	18434.6
02/21	258	pho2∆	0.168	0.221	0.052	A	H11	4944	359367	2143.5	9200.8	3642.0000000000005	14664
02/21	258	pho2∆	0.168	0.221	0.052	A	H12	4961	366295	2686.5	11057.3	4384.299999999999	17184.6
02/21	265	PHO2	0.155	0.33	0.056	A	E6	5118	339511.5	721.5	6164.8	1507.8000000000002	10239.599999999999
02/21	265	PHO2	0.155	0.33	0.056	A	E7	5145	359398	1064.5	6962.3	1844.5	10788.199999999999
02/21	265	PHO2	0.155	0.33	0.056	A	E8	5221	321209	559.5	5086.3	1350.5	8984.199999999999
02/21	266	pho2∆	0.115	0.234	0.098	A	H6	4942	318029.5	1127.5	6457.8	2542.9	11855.099999999999
02/21	266	pho2∆	0.115	0.234	0.098	A	H7	4920	327046	1792	7940.3	3332.1	13613.4
02/21	266	pho2∆	0.115	0.234	0.098	A	H8	5096	379894	1700.5	7936.8	2680.9	11874.4
02/21	276	pho2∆	0.153	0.285	0.058	A	B6	4812	340469	697	6889.3	1452.5	11177.5
02/21	276	pho2∆	0.153	0.285	0.058	A	B7	5048	377998	1245	9333.8	1910.7000000000003	13525.5
02/21	276	pho2∆	0.153	0.285	0.058	A	B8	4927	376672	1159.5	8689.3	1872.8000000000002	12774.8
02/21	NA	PHO2	0.505	0.638	0.018	A	D1	5210	364501.5	39.5	566.3	212.10000000000014	868.8
02/21	NA	PHO2	0.505	0.638	0.018	A	F5	5186	360933.5	7.5	529.3	187.10000000000014	821.9
02/21	NA	PHO2	0.505	0.638	0.018	A	H9	5100	351963	38.5	1222.3	254.30000000000018	1902.2
02/21	NA	pho2∆	0.571	40.173	0.062	A	B9	5142	397159.5	82.5	678.3	163.10000000000014	941.3999999999999
02/21	NA	pho2∆	0.571	40.173	0.062	A	F1	5012	359272	-53.5	711.8	114.70000000000005	1090.3999999999999
02/21	NA	pho2∆	0.571	40.173	0.062	A	H5	5174	355319.5	-34.5	1719.3	156.80000000000018	2674.7000000000003
02/22	194	pho2∆	0.084	0.349	0.015	A	F10	5266	376039	932.5	1046.3	1421.6	1541.2
02/22	194	pho2∆	0.084	0.349	0.015	A	F11	5291	386986	1808.5	973.3	2408.6	1305.8
02/22	194	pho2∆	0.084	0.349	0.015	A	F12	5188	383312.5	1161	1150.3	1659.1	1616.7
02/22	301	pho2∆	0.115	0.201	0.043	A	B2	5183	356962	7897.5	6135.3	13049.6	9766
02/22	301	pho2∆	0.115	0.201	0.043	A	B3	4973	357770	10091.5	6347.3	16486.2	10002.4
02/22	301	pho2∆	0.115	0.201	0.043	A	B4	5092	384405.5	11901	7557.3	17770.4	10531.9
02/22	328	pho2∆	0.332	0.366	0.049	A	F6	5015	389457	3129.5	4987.3	4868.299999999999	7576
02/22	328	pho2∆	0.332	0.366	0.049	A	F7	5207	386365	1427.5	2476.3	2287.2000000000003	4069.5
02/22	328	pho2∆	0.332	0.366	0.049	A	F8	4961	356202	2466.5	3939.3	4437	6753.9000000000005
02/22	NA	PHO2	0.151	2.081	0.058	A	D1	5278	390049	48	431.3	141.4000000000001	615.5999999999999
02/22	NA	PHO2	0.151	2.081	0.058	A	F5	5130	364610	-50.5	444.3	84.20000000000005	682.9
02/22	NA	PHO2	0.151	2.081	0.058	A	H9	5049	347985	-117.5	333.3	39.80000000000018	541.9
02/22	NA	pho2∆	0.203	0.87	0.031	A	B9	5193	373646	-3.5	648.3	114.20000000000005	969.5999999999999
02/22	NA	pho2∆	0.203	0.87	0.031	A	F1	5226	351508	-131.5	437.3	22.600000000000136	708.8
02/22	NA	pho2∆	0.203	0.87	0.031	A	H5	4963	362725	-90.5	505.3	26.40000000000009	781.0999999999999
02/23	328	pho2∆	0.323	0.377	0.023	A	F10	5073	337689	1585.5	4050.3	3079.2000000000003	7377.3
02/23	328	pho2∆	0.323	0.377	0.023	A	F11	5210	351892	985.5	2176.3	1771.9	3735.8
02/23	328	pho2∆	0.323	0.377	0.023	A	F12	4978	339552.5	2181	4174.8	4063.6	7365.9000000000005
