Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
4	9.485	604.495	5733.596	619	1357092	Sc	cytoplasm
5	11.014	494.343	5444.865	506	1288752	Sc	cytoplasm
6	10.174	786.429	8000.811	681	1893722	Sc	cytoplasm
7	17.005	544.311	9256.163	549	2190853	Sc	cytoplasm
8	15.282	651.101	9949.805	637	2355032	Sc	cytoplasm
9	9.578	540.657	5178.349	556	1225670	Sc	cytoplasm
10	15.776	531.848	8390.339	568	1985920	Sc	cytoplasm
1	1.453	3324.34	4831.496	3362	1143573	B10	nuclei
2	2.446	1166.285	2852.995	1182	675279	B10	nuclei
3	1.082	2499.188	2703.066	2526	639792	B10	nuclei
4	0.934	1784.756	1666.437	1796	394431	B10	nuclei
5	0.693	3141.591	2176.764	3148	515221	B10	nuclei
6	1.077	1479.384	1593.819	1491	377243	B10	nuclei
7	1.263	996.612	1258.969	1001	297987	B10	nuclei
8	1.546	1183.781	1830.503	1184	433264	B10	nuclei
9	1.415	1590.137	2250.594	1555	532696	B10	nuclei
10	1.758	1610.454	2830.476	1652	669949	B10	nuclei
1	10.714	1289.788	13819.276	843	3270902	B10	wc
2	27.783	872.845	24250.274	870	5739828	B10	wc
3	16.431	968.758	15917.36	787	3767500	B10	wc
4	10.321	814.826	8410.201	622	1990621	B10	wc
5	7.618	1086.688	8277.864	745	1959298	B10	wc
6	21.272	635.811	13525.256	528	3201310	B10	wc
7	13.955	583.652	8144.804	517	1927804	B10	wc
8	10.947	674.159	7379.85	562	1746746	B10	wc
9	9.354	816.985	7642.044	663	1808805	B10	wc
10	16.401	776.788	12740.183	620	3015490	B10	wc
1	10.714	838.852	8987.78	728	2127329	B10	cytoplasm
2	27.783	770.156	21397.279	799	5064549	B10	cytoplasm
3	16.431	804.245	13214.294	729	3127708	B10	cytoplasm
4	10.321	653.373	6743.764	584	1596190	B10	cytoplasm
5	7.618	800.93	6101.1	693	1444077	B10	cytoplasm
6	21.272	560.887	11931.437	518	2824067	B10	cytoplasm
7	13.955	493.435	6885.835	498	1629817	B10	cytoplasm
8	10.947	506.94	5549.347	530	1313482	B10	cytoplasm
9	9.354	576.382	5391.45	611	1276109	B10	cytoplasm
10	16.401	604.209	9909.707	586	2345541	B10	cytoplasm
1	1.711	1486.037	2542.743	1505	601845	D1	nuclei
2	0.363	1497.349	544.05	1512	128772	D1	nuclei
3	0.972	918.748	892.775	934	211312	D1	nuclei
4	0.6	1468.162	880.806	1467	208479	D1	nuclei
5	0.921	908.422	836.685	935	198036	D1	nuclei
6	1.711	830.069	1420.323	831	336178	D1	nuclei
7	2.434	565.132	1375.277	566	325516	D1	nuclei
8	0.917	1385.138	1269.903	1420	300575	D1	nuclei
9	1.88	985.101	1852.075	994	438370	D1	nuclei
10	0.832	1218.051	1013.793	1212	239956	D1	nuclei
1	12.193	663.557	8090.814	504	1915025	D1	wc
2	7.229	652.683	4718.134	530	1116741	D1	wc
3	6.566	551.685	3622.098	451	857319	D1	wc
4	11.166	614.984	6867.19	482	1625404	D1	wc
5	8.399	499.453	4194.967	431	992912	D1	wc
6	15.662	515.262	8069.905	462	1910076	D1	wc
7	34.408	526.85	18127.686	535	4290665	D1	wc
8	10.659	703.016	7493.77	584	1773710	D1	wc
9	33.368	531.679	17741.272	489	4199204	D1	wc
10	13.634	534.652	7289.34	435	1725323	D1	wc
1	12.193	455.017	5548.071	470	1313180	D1	cytoplasm
2	7.229	577.422	4174.083	510	987969	D1	cytoplasm
3	6.566	415.706	2729.323	419	646007	D1	cytoplasm
4	11.166	536.105	5986.385	468	1416925	D1	cytoplasm
5	8.399	399.837	3358.282	411	794876	D1	cytoplasm
6	15.662	424.575	6649.582	436	1573898	D1	cytoplasm
7	34.408	486.88	16752.41	525	3965149	D1	cytoplasm
8	10.659	583.882	6223.867	558	1473135	D1	cytoplasm
9	33.368	476.175	15889.196	477	3760834	D1	cytoplasm
10	13.634	460.293	6275.546	418	1485367	D1	cytoplasm
1	1.99	1998.599	3977.08	1899	941340	F7	nuclei
2	1.348	1522.423	2051.842	1569	485653	F7	nuclei
3	0.828	2427.214	2009.935	2453	475734	F7	nuclei
4	1.453	1535.846	2232.153	1567	528331	F7	nuclei
5	1.001	618.447	619.254	609	146572	F7	nuclei
6	0.537	1394.614	748.3	1395	177116	F7	nuclei
7	1.17	1172.007	1371.601	1202	324646	F7	nuclei
8	1.107	1404.233	1554.384	1432	367909	F7	nuclei
9	1.098	1560.012	1713.637	1564	405603	F7	nuclei
10	1.496	953.136	1425.528	975	337410	F7	nuclei
1	8.606	1232.442	10606.581	1072	2510485	F7	wc
2	14.056	920.115	12933.397	853	3061222	F7	wc
3	11.09	1044.549	11584.462	822	2741941	F7	wc
4	13.752	836.961	11509.969	728	2724309	F7	wc
5	15.611	438.251	6841.558	425	1619337	F7	wc
6	9.992	672.608	6720.641	615	1590717	F7	wc
7	9.658	789.245	7622.643	739	1804213	F7	wc
8	17.149	671.624	11517.633	595	2726123	F7	wc
9	17.626	904.812	15948.518	925	3774875	F7	wc
10	13.135	622.622	8178.295	576	1935731	F7	wc
1	8.606	770.322	6629.501	817	1569145	F7	cytoplasm
2	14.056	774.142	10881.555	805	2575569	F7	cytoplasm
3	11.09	863.317	9574.527	777	2266207	F7	cytoplasm
4	13.752	674.648	9277.816	684	2195978	F7	cytoplasm
5	15.611	398.583	6222.304	408	1472765	F7	cytoplasm
6	9.992	597.717	5972.341	588	1413601	F7	cytoplasm
7	9.658	647.23	6251.042	702	1479567	F7	cytoplasm
8	17.149	580.984	9963.249	575	2358214	F7	cytoplasm
9	17.626	807.592	14234.881	871	3369272	F7	cytoplasm
10	13.135	514.095	6752.767	548	1598321	F7	cytoplasm
1	1.056	1498.044	1582.276	1516	374511	H7	nuclei
2	2.281	2099.872	4790.76	2106	1133931	H7	nuclei
3	0.913	4302.829	3926.681	4457	929411	H7	nuclei
4	0.79	1764.283	1393.888	1896	329921	H7	nuclei
5	1.563	2398.335	3749.12	2603	887384	H7	nuclei
6	1.72	1996.835	3433.637	2104	812712	H7	nuclei
7	0.896	3080.245	2758.919	3193	653012	H7	nuclei
8	1.458	3115.032	4540.455	3384	1074686	H7	nuclei
9	1.086	1392.342	1511.809	1450	357832	H7	nuclei
10	2.814	1861.676	5238.368	1891	1239876	H7	nuclei
1	11.496	931.875	10712.825	836	2535632	H7	wc
2	22.291	1051.778	23444.799	903	5549179	H7	wc
3	6.625	1919.523	12716.194	1297	3009812	H7	wc
4	7.368	1021.311	7525.276	858	1781167	H7	wc
5	16.194	1002.057	16227.401	726	3840884	H7	wc
6	11.897	1017.736	12108.364	773	2865944	H7	wc
7	16.832	1320.401	22225.062	1019	5260478	H7	wc
8	14.221	1085.098	15431.241	666	3652440	H7	wc
9	12.899	825.901	10653.021	718	2521477	H7	wc
10	24.999	1040.806	26018.915	919	6158450	H7	wc
1	11.496	794.238	9130.548	779	2161121	H7	cytoplasm
2	22.291	836.855	18654.039	852	4415248	H7	cytoplasm
3	6.625	1326.786	8789.513	1083	2080401	H7	cytoplasm
4	7.368	832.136	6131.388	811	1451246	H7	cytoplasm
5	16.194	770.545	12478.281	695	2953500	H7	cytoplasm
6	11.897	729.131	8674.727	729	2053232	H7	cytoplasm
7	16.832	1156.492	19466.143	971	4607466	H7	cytoplasm
8	14.221	765.821	10890.786	623	2577754	H7	cytoplasm
9	12.899	708.695	9141.212	700	2163645	H7	cytoplasm
10	24.999	831.261	20780.547	877	4918574	H7	cytoplasm
