plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost
294	M	CCCCs	chimera	18.31040815526215	18.143539160173894	1.0382268093925386	16.930807454235048	1.0091971579312675
301	A	SSSSc	chimera	15.687960177341633	0.642562432747114	0.8895301897526391	0.5996129382544334	24.414686227876267
326	B	SSsCC	chimera	5.530933140258968	4.173077862219357	0.3136119642163329	3.894145301698105	1.3253846016947946
327	B	CCcSS	chimera	32.27106134456497	4.469604466259628	1.8298161773007673	4.17085178072311	7.220115692154499
328	B	SCCsS	chimera	35.924159237715756	1.9337584228964697	2.0369521481564776	1.8045041395744734	18.577376994126777
329	B	CSSsC	chimera	22.992698918757664	2.12948460678862	1.3037195148970329	1.987147796028457	10.797306937772102
330	B	CSScS	chimera	5.197330951624945	4.584833635562031	0.29469623426782643	4.2783789208994225	1.1335920482069641
331	B	CSScC	chimera	9.933149178842141	8.289995028259389	0.5632240249218925	7.735883742468265	1.198209304707841
332	M	SCCCs	chimera	4.422065074490808	4.581275180922785	0.2507375299493448	4.27505831681001	0.9652476439103779
334	A	SCCSc	chimera	11.900688921860727	1.351367267483406	0.6747863938448454	1.2610405722792846	8.806406080874575
