well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
C1	194-555-2	194-555-2	16109	15889	5596	5169	409181	2360	25790	3141.7	34476.4
C2	188-555-1	188-555-1	19266	18878	5469	5094	410031.5	2119.5	20555	2825.3	27726.9
C3	188-555-2	188-555-2	18325	18047	5315	4940	388058	1888	18191	2703.5	25933.1
C4	188-555-3	188-555-3	19077	18685	5492	5138	401260.5	2087	20793.5	2808.6	28478.7
C5	194-555-6	194-555-6	17117	16855	5384	5042	418965	2415	25364	3157	33818.7
C6	231-555-1	231-555-1	15330	15094	5630	5282	373334.5	960.5	2848.5	1399.2	4126
C7	231-555-2	231-555-2	15713	15433	5504	2676	418575.5	2475	6491.5	3398.4	8994.8
C8	231-555-3	231-555-3	15047	14742	5391	297	431030	1353	17000	1475.2	20048.7
C9	194-555-10	194-555-10	15033	14884	5650	5238	402568	2215	21063.5	3038.9	29672.3
C10	233-555-1	233-555-1	33602	27099	5860	5296	497914.5	3329.5	34137.5	3325.4	35121
C11	233-555-2	233-555-2	34051	27088	5668	5153	488028	3413	37767	3467	39026.3
C12	233-555-3	233-555-3	33738	25701	5042	4543	493403	3419	37465	3451.9	38829.6
D1	NA-555-1	NA-555-1	14720	14600	5654	5375	361949	845	550	1273.9	819.9
D2	188-373-1	188-373-1	19427	19004	5314	4986	386855.5	2012	17325	2881	24939.5
D3	188-373-2	188-373-2	18568	18233	5224	4919	375970	1868	16408	2767.5	24614.5
D4	188-373-3	188-373-3	17909	17613	5184	4872	367418	1905	16243.5	2865.8	24804.5
D5	NA-blank-2	NA-blank-2	251	48	18	14	359213.5	1802.5	14238.5	2711.8	22800.6
D6	231-373-1	231-373-1	17269	16806	5070	4825	337234	4363	5951	7193.7	9943.2
D7	231-373-2	231-373-2	16139	15842	5271	4984	337298	4156.5	5918	6790.7	9681.7
D8	231-373-3	231-373-3	15274	15013	5428	5162	314610	3671.5	4741	6520.1	8465.5
D9	NA-156-3	NA-156-3	15477	15165	5506	5134	399170	804	104	1086.4	139.6
D10	233-373-1	233-373-1	23238	21725	5349	4834	391435.5	5187.5	1306.5	6937.7	1822.5
D11	233-373-2	233-373-2	23539	21907	5486	4993	391237	5551	1077	7493.9	1481.9
D12	233-373-3	233-373-3	16726	16287	5285	5008	331057.5	9836.5	7883.5	16470.1	13599.5
E1	194-555-3	194-555-3	16153	16010	5589	5204	400302.5	2273	24121	3121.8	33648.9
E2	229-555-1	229-555-1	16628	16241	5359	5022	365276	1911	1112	2716.8	1646.2
E3	229-555-2	229-555-2	15930	15621	5458	5121	360522	1852	1469	2672.6	2217.8
E4	229-555-3	229-555-3	14879	14717	5534	5236	373677	1959.5	1505	2751.3	2158.6
E5	194-555-7	194-555-7	17556	17287	5265	4886	409298	2345.5	22162	3150.1	30088.6
E6	252-555-1	252-555-1	22791	20049	5572	5194	460783.5	2815.5	30007	3132.9	33932
E7	252-555-2	252-555-2	19897	18488	5492	5197	429420	3350	28347	4392.3	35355.7
E8	252-555-3	252-555-3	22290	19906	5486	5040	446090	3183	32676.5	3673.6	39013.1
E9	194-555-11	194-555-11	17555	17192	5202	4843	392802	2175	21983	3028.6	31130.7
E10	250-555-1	250-555-1	15195	14994	5389	5103	327360	2703	2839	4626.1	4848.7
E11	250-555-2	250-555-2	15673	15386	5519	5229	336252	2550	2719	4265.3	4547.9
E12	250-555-3	250-555-3	16102	15869	5388	5084	336871	3004.5	3580	5019.2	5967.5
F1	NA-373-1	NA-373-1	15976	15671	5429	5113	358410	814	1244	1263.4	1924.7
F2	229-373-1	229-373-1	15799	15383	5357	5007	358472	1880	1261	2777.3	1911
F3	229-373-2	229-373-2	16014	15590	5276	4903	374251	1915	1088	2717.3	1585.9
F4	229-373-3	229-373-3	15700	15323	5330	4957	364959	1836	1386	2649	2104.6
F5	NA-555-2	NA-555-2	14813	14678	5363	5082	358838.5	895	2016	1366.2	3020.8
F6	252-373-1	252-373-1	21505	19596	5400	5001	433201	4215	4387	5278.4	5449.7
F7	252-373-2	252-373-2	25525	21695	5590	5338	449252	3906	4118	4411.9	4578.6
F8	252-373-3	252-373-3	22073	19647	5461	4954	421545	4278	4473	5420.2	5950.6
F9	NA-blank-3	NA-blank-3	192	55	28	27	372997	2374	2341	4196.8	2473.9
F10	250-373-1	250-373-1	17590	17114	5459	5160	350887	4932	5279.5	7818.7	8487.6
F11	250-373-2	250-373-2	16741	16359	5369	5036	336326	3985	4489.5	6813.3	7766.7
F12	250-373-3	250-373-3	16660	16292	5397	5086	332403.5	4317	4606	7338.9	7958.5
G1	194-555-4	194-555-4	15511	15396	5581	5213	407104	2357	22895	3174.8	31637.9
G2	241-555-1	241-555-1	19496	18483	5645	4097	493807	2861	23893	2919.3	24390
G3	241-555-2	241-555-2	27530	24109	5736	5285	479488	3279	48023	3483.8	51886.7
G4	241-555-3	241-555-3	23683	21224	5658	5255	483879	2878	28784	3041.8	30372.4
G5	194-555-8	194-555-8	16539	16331	5463	5139	411736	2278	22703	3083.8	30944.9
G6	253-555-1	253-555-1	19621	18293	5519	5211	426699	2201	3690	2621.4	4461.7
G7	253-555-2	253-555-2	14816	14679	5425	5143	336272	1961	3442	3231.9	5597
G8	253-555-3	253-555-3	14537	14394	5359	5059	332366	1909	3689	3198.7	6201.1
G9	194-555-12	194-555-12	14690	14530	5551	5159	390120	2040	19963	2948.5	29177.6
G10	251-555-1	251-555-1	21975	20396	5777	5338	491367.5	3000	31802	3132.7	33989.9
G11	251-555-2	251-555-2	26228	22816	5935	5427	482121	3151	37864	3307.6	40991.4
G12	251-555-3	251-555-3	20379	19067	5933	4177	516535	2888	30693	2788.3	29919.6
H1	NA-156-1	NA-156-1	15155	14980	5758	5319	409414	861	755	1159.6	1024.6
H2	241-373-1	241-373-1	15990	15731	5468	5110	349319.5	4724	8568	7596.9	14047.3
H3	241-373-2	241-373-2	15809	15544	5339	5021	331796	3920	7267	6869.6	12689.1
H4	241-373-3	241-373-3	15491	15282	5267	4875	317259	4003	8725	7215.9	15867.4
H5	NA-373-2	NA-373-2	15404	15177	5491	5189	349084	828	3175	1304.7	4947.8
H6	253-373-1	253-373-1	16621	16253	5483	5173	347907	2747	5788	4316	9042.1
H7	253-373-2	253-373-2	16551	16250	5408	5087	358491	3026	7244	4584.6	10897.3
H8	253-373-3	253-373-3	16690	16310	5478	5223	344980	2495	5260	4060.4	8462.2
H9	NA-555-3	NA-555-3	15402	15181	5412	5116	357745.5	855	1009.5	1290.6	1541.5
H10	251-373-1	251-373-1	15397	15155	5379	5020	315191	3908.5	6941	6973.2	12441.8
H11	251-373-2	251-373-2	16059	15753	5474	5105	327065	3840	7386	6656.9	13217.5
H12	251-373-3	251-373-3	15390	15153	5359	5035	330843	4859	7701	8267.4	13212.8
