plasmid_id	chimera_makeup	host	A
194	SSSSS	PHO2	12.58299743495786
442	SSCCW	PHO2	2.0553654743390357
442	SSCCW	PHO2	2.101497646555413
442	SSCCW	PHO2	3.1342534504391466
440	CSCCW	pho2	2.822103274559194
440	CSCCW	pho2	2.105842284516636
440	CSCCW	pho2	1.6020408163265305
442	SSCCW	pho2	0.6553087922117432
442	SSCCW	pho2	0.3334013189203889
442	SSCCW	pho2	0.46130896886071227
194	SSSSS	PHO2	15.341147132169576
253	CSCCS	PHO2	1.5268583830710798
253	CSCCS	PHO2	1.9184652278177459
253	CSCCS	PHO2	1.620876415558838
194	SSSSS	PHO2	13.314911862791806
235	SSCCS	PHO2	0.30631887292509413
235	SSCCS	PHO2	0.30292472723938757
235	SSCCS	PHO2	0.2949230582818369
253	CSCCS	pho2	2.3926083005149956
253	CSCCS	pho2	2.339764914615214
253	CSCCS	pho2	2.2090277777777776
235	SSCCS	pho2	0.40507220852412823
235	SSCCS	pho2	0.5575364667747164
235	SSCCS	pho2	0.5629834254143646
194	SSSSS	PHO2	12.740910830463068
441	SCCCW	PHO2	30.719197707736388
441	SCCCW	PHO2	29.1260663507109
441	SCCCW	PHO2	28.348555452003726
194	SSSSS	PHO2	16.11965811965812
194	SSSSS	PHO2	15.12969454181272
441	SCCCW	pho2	1.782312925170068
441	SCCCW	pho2	1.3012379642365888
441	SCCCW	pho2	1.8876488095238095
194	SSSSS	pho2	0.5610531093962778
194	SSSSS	pho2	0.644430459408433
194	SSSSS	pho2	0.607854297097325
194	SSSSS	PHO2	12.024079807361542
216	SCCCS	PHO2	1.2486528098537337
216	SCCCS	PHO2	1.5488867376573088
216	SCCCS	PHO2	1.3820915926179085
194	SSSSS	PHO2	14.369166229680125
194	SSSSS	PHO2	14.030148619957536
188	CCCCC	PHO2	15.798488664987406
188	CCCCC	PHO2	15.677286742034944
188	CCCCC	PHO2	13.553107789142407
216	SCCCS	pho2	2.661095636025998
216	SCCCS	pho2	2.0350877192982457
216	SCCCS	pho2	2.3211267605633803
188	CCCCC	pho2	14.785241248817409
188	CCCCC	pho2	14.828908554572271
188	CCCCC	pho2	14.565826330532213
194	SSSSS	PHO2	14.404111897539602
440	CSCCW	PHO2	25.14724409448819
440	CSCCW	PHO2	22.42043085476025
440	CSCCW	PHO2	22.183215887251762
194	SSSSS	PHO2	15.420301042068699
194	SSSSS	PHO2	17.695194508009152
442	SSCCW	PHO2	19.60635881907646
442	SSCCW	PHO2	16.414217361585784
442	SSCCW	PHO2	18.003157063930544
440	CSCCW	pho2	3.49718574108818
440	CSCCW	pho2	3.182127981825066
440	CSCCW	pho2	2.669146957214988
442	SSCCW	pho2	1.8233890214797137
442	SSCCW	pho2	1.7218564845292956
442	SSCCW	pho2	1.72829373650108
194	SSSSS	PHO2	15.970351545955104
253	CSCCS	PHO2	1.4947633012149142
253	CSCCS	PHO2	2.4122174122174123
253	CSCCS	PHO2	2.6297689414293393
194	SSSSS	PHO2	15.988001654944146
194	SSSSS	PHO2	18.29683698296837
235	SSCCS	PHO2	1.4930300807043286
235	SSCCS	PHO2	1.450912848777127
235	SSCCS	PHO2	1.6216216216216217
253	CSCCS	pho2	2.9019417475728155
253	CSCCS	pho2	2.902695035460993
253	CSCCS	pho2	2.985299960270163
235	SSCCS	pho2	1.525033467202142
235	SSCCS	pho2	1.394141930410851
235	SSCCS	pho2	1.6537894426422883
194	SSSSS	PHO2	16.581855043081603
441	SCCCW	PHO2	41.15424610051993
441	SCCCW	PHO2	34.997627520759195
441	SCCCW	PHO2	37.339045287637695
194	SSSSS	PHO2	16.123351765206294
194	SSSSS	PHO2	19.339139902014153
441	SCCCW	pho2	2.0343392299687824
441	SCCCW	pho2	1.9726962457337884
441	SCCCW	pho2	1.9347234814143246
194	SSSSS	pho2	0.9072164948453608
194	SSSSS	pho2	1.1171935235158057
194	SSSSS	pho2	0.839405560882071
194	SSSSS	PHO2	16.135685210312076
216	SCCCS	PHO2	1.6138181818181818
216	SCCCS	PHO2	1.8518518518518519
216	SCCCS	PHO2	2.284039675383228
194	SSSSS	PHO2	16.271292064810968
188	CCCCC	PHO2	18.598249801113763
188	CCCCC	PHO2	16.27666896077082
188	CCCCC	PHO2	17.240364400840924
194	SSSSS	PHO2	18.591074208614426
216	SCCCS	pho2	1.795938583457157
216	SCCCS	pho2	2.0076460950300383
216	SCCCS	pho2	2.108874656907594
188	CCCCC	pho2	18.019147084421235
188	CCCCC	pho2	14.764490095377843
188	CCCCC	pho2	22.970954356846473
