plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost	full
221	M	CSCSS	chimera	31.10619846464107	4.986868536013071	1.8100790844440011	5.165308169572395	6.237621513381628	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-312)
222	M	SCCSS	chimera	40.44793254550858	3.0366811118956085	2.3536774123282984	3.145339333168148	13.319782701931283	Sc(1-42) Cg(45-282) Sc(177-312)
223	A	CSCSC	chimera	19.190885296916992	4.252679969196822	1.1167234121327778	4.404848940539958	4.512656827205706	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-242) Cg(459-533)
224	A	SCSCS	n.f.	1.0049784803051922	1.160144312457401	0.05848000132785548	1.2016564807641954	0.866252990696012	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-458) Sc(243-312)
227	M	SSSCC	n.f.	2.6400604911132577	1.9584701475603277	0.15362591742167123	2.028547931432877	1.348021819174517	Sc(1-176) Cg(283-533)
229	A	SSSCS	n.f.	0.9846358751182878	1.0495557761749137	0.057296258987441444	1.0871108764845065	0.9381453539389538	Sc(1-176) Cg(283-458) Sc(243-312)
230	M	SSCSS	chimera	32.624661737149935	2.8906931273139893	1.8984389209308994	2.994127621053973	11.286103470784022	Sc(1-99) Cg(113-282) Sc(177-312)
231	M	CSSSS	chimera	21.22733687750212	1.6883308969494994	1.2352251447276548	1.7487425850465375	12.572971871720156	Cg(1-44) Sc(43-312)
232	M	SCSSS	chimera	19.873186466813614	1.0601029721638653	1.1564267233016245	1.0980354711904599	18.746468021166645	Sc(1-42) Cg(45-112) Sc(100-312)
233	A	SSSSC	chimera	13.98069541737573	0.42980666744110646	0.8135408892777379	0.4451859668322353	32.52787003191711	Sc(1-242) Cg(459-533)
234	M	CCSSS	chimera	31.042370782069522	2.2690856050584305	1.8063649323156843	2.3502778003123024	13.68056397381718	Cg(1-112) Sc(100-312)
235	A	SSCCS	n.f.	1.8907782347881499	1.7980366469221436	0.1100249566015707	1.8623738152445175	1.0515793646501923	Sc(1-99) Cg(113-458) Sc(243-312)
239	A	SSCSC	chimera	16.451042182597384	2.758120603484606	0.9572911137268768	2.8568114003732865	5.96458405836683	Sc(1-99) Cg(113-282) Sc(177-242) Cg(459-533)
240	A	CCSCS	n.f.	2.8033417612044835	2.349144353180344	0.16312730384822344	2.433201202590412	1.1933458909875985	Cg(1-112) Sc(100-176) Cg(283-458) Sc(243-312)
241	A	CSSSC	chimera	15.232177081079508	2.4220169837923597	0.886364985305106	2.5086813544171953	6.289046353931499	Cg(1-44) Sc(43-243) Cg(459-533)
250	A	CSSCS	n.f.	1.5289259699057687	1.3985951179543341	0.08896866400873533	1.448639509247864	1.0931869776165557	Cg(1-44) Sc(43-176) Cg(283-458) Sc(243-312)
251	A	SCCSC	chimera	16.47252344713153	2.2028751542931135	0.9585411149986447	2.2816982137883346	7.477738089255195	Sc(1-42) Cg(45-282) Sc(177-242) Cg(459-533)
252	A	SCSSC	chimera	13.497456328709864	1.339751053377531	0.7854210607434299	1.3876898922097523	10.074600273448258	Sc(1-42) Cg(45-112) Sc(100-242) Cg(459-533)
253	A	CSCCS	n.f.	3.0463726796580803	3.125766511200087	0.1772693464017717	3.237612377362918	0.9746002040595396	Cg(1-44) Sc(43-99) Cg(113-458) Sc(243-312)
254	S	CSScsC	chimera	8.828485000256908	2.182713096842808	0.5137322088540534	2.2608147196052872	4.044729934056334	Cg(1-44) Sc(43-176) Cg(283-327) Sc(205-242) Cg(459-533)
255	S	CSSscC	chimera	12.6422163470089	5.119300117076468	0.7356543878786347	5.302478404287072	2.469520453555402	Cg(1-44) Sc(43-204) Cg(328-533)
257	S	CCCscC	chimera	31.71249133960087	18.66586146156058	1.8453594499717796	19.33376145836556	1.6989567507991945	Cg (1-282) Sc(177-204) Cg(328-533)
258	SA	CCCcsC	chimera	11.008847558843726	4.183058499759521	0.6406081647278965	4.3327362826134195	2.631769926114256	Cg(1-327) Sc(205-242) Cg(459-533)
265	S	SSSscC	chimera	8.084674188717965	2.4828336055687843	0.4704496330587377	2.571674110500296	3.2562287583770133	Sc(1-204) Cg(328-533)
266	S	SSscCC	chimera	5.47501067509577	4.753651798019172	0.3185925249388341	4.923746493474152	1.151748362675025	Sc(1-153) Cg(250-533)
276	S	SCCscC	chimera	27.265830530567836	8.373909801884627	1.586606914357479	8.67354420887097	3.2560454047918457	Sc(1-42) Cg(45-282) Sc(177-204) Cg(328-533)
277	S	CSCscC	chimera	25.942676961181245	15.93163587061892	1.509612208489562	16.501700079495503	1.6283749623618162	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-204) Cg(328-533)
278	S	SSSscS	n.f.	2.575008408727263	1.2761315220194065	0.1498405170983156	1.3217939331133028	2.017823683762985	Sc(1-204) Cg(328-458) Sc(243-312)
279	S	CSSscS	chimera	5.328198814498675	1.9126512250064505	0.3100494984254149	1.9810895207530237	2.7857660324248115	Cg(1-44) Sc(43-204) Cg(328-458) Sc(243-312)
294	B	CCCCS	chimera	18.31040815526215	18.143539160173894	1.065488181307253	18.792749472382972	1.0091971579312675	Cg(1-470) Sc(251-312)
301	B	SSSSC	chimera	15.687960177341633	0.642562432747114	0.9128871413482174	0.6655545377545684	24.414686227876267	Sc(1-247) Cg(464-533)
326	B	SSSCC	chimera	5.530933140258968	4.173077862219357	0.3218466700783476	4.322398518894274	1.3253846016947946	Sc(1-156) Cg(253-533)
327	B	CCCSS	chimera	32.27106134456497	4.469604466259628	1.877862807279571	4.629535408363853	7.220115692154499	Cg(1-252) Sc(157-312)
328	B	SCCSS	chimera	35.924159237715756	1.9337584228964697	2.090437677118941	2.0029519742969186	18.577376994126777	Sc(1-42) Cg(45-252) Sc(157-312)
329	B	CSSSC	chimera	22.992698918757664	2.12948460678862	1.3379520951449597	2.2056816130183803	10.797306937772102	Cg(1-44) Sc(43-247) Cg(464-533)
330	B	CSSCS	chimera	5.197330951624945	4.584833635562031	0.3024342579554844	4.748887696332244	1.1335920482069641	Cg(1-44) Sc(43-156) Cg(253-463) Sc(251-312)
331	B	CSSCC	chimera	9.933149178842141	8.289995028259389	0.5780129510754001	8.586626805168807	1.198209304707841	Cg(1-44) Sc(43-156) Cg(253-533)
332	B	SCCCS	chimera	4.422065074490808	4.581275180922785	0.2573213023920207	4.745201913423307	0.9652476439103779	Sc(1-42) Cg(45-463) Sc(251-312)
334	B	SCCSC	chimera	11.900688921860727	1.351367267483406	0.6925046830271065	1.3997217565324778	8.806406080874575	Sc(1-42) Cg(45-252) Sc(157-247) Cg(464-533)
406	N	CCCCS	chimera	7.087095016077281	6.563162284170591	0.41240019967887875	6.7980047037211335	1.0798293123377951	Cg(1-463) Sc(251-312)
407	N	SSSSC	chimera	9.423742049419726	0.6094930753880996	0.5483703963452777	0.6313018959422801	15.461606423369261	Sc(1-250) Cg(464-533)
408	N	SCCCS	n.f.	3.1564973906877705	3.3972760594903524	0.18367753660032227	3.51883705328386	0.9291259630991828	Sc(1-42) Cg(45-463) Sc(251-312)
409	N	SSCCS	n.f.	2.37729669850043	2.388745665016223	0.13833561296038163	2.474219524624461	0.9952071220124159	Sc(1-99) Cg113-464) Sc(251-312)
410	N	CSSSC	chimera	17.42016945167076	1.6444095465655753	1.0136849222441109	1.703249645275137	10.593571101586939	Cg(1-44) Sc(43-250) Cg(464-533)
411	N	CSCCS	chimera	4.287132718585937	4.475907021104872	0.2494695478449072	4.6360634805992085	0.9578243467460733	Cg(1-44) Sc(43-99) Cg(113-463) Sc251-312)
412	N	CSSCS	n.f.	1.876579439424595	1.8065559630048327	0.1091987244105466	1.8711979686472588	1.0387607568510042	Cg(1-44) Sc(43-176) Cg(283-463) Sc(251-312)
413	N	CCSCS	n.f.	2.5856682502569193	2.6475455863958555	0.15046081649678603	2.7422797990297787	0.9766284152171405	Cg(1-112) Sc(100-176) Cg(283-463) Sc(251-312)
414	N	SCSCS	n.f.	0.7056958528782731	0.8022264494958963	0.04106465483803286	0.8309316364575905	0.8796716355110441	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-463) Sc(251-312)
415	N	SSSCS	n.f.	0.605799871505155	0.8562568530872718	0.035251677507838385	0.8868953505720494	0.7074978370344329	Sc(1-176) Cg(283-463) Sc(251-312)
416	SN	SSSscS	n.f.	1.9397939844575678	0.889866879777009	0.11287719788029232	0.9217080078912337	2.179869853054492	Sc(1-204) Cg(328-463) Sc(251-312)
417	SN	CSSscS	chimera	5.415972059439476	1.9992571964848378	0.3151570500608782	2.0707944184820333	2.7089921541670687	Cg(1-44) Sc(43-204) Cg(328-463) Sc(251-312)
418	SN	CCCcsC	chimera	6.225531391801837	1.74055134624588	0.362265552142586	1.8028315812615818	3.5767582526246167	Cg(1-327) Sc(205-250) Cg(464-533)
419	SN	CSScsC	chimera	5.2423929094823825	0.9232247580840597	0.3050564268944038	0.9562594944794014	5.678349571519032	Cg(1-44) Sc(43-176) Cg(283-327) Sc(205-250) Cg(464-533)
420	N	CCSSC	chimera	21.638362515497956	2.062747899538848	1.2591428507550313	2.1365569395528143	10.490066440176944	Cg(1-112) Sc(100-250) Cg(464-544)
421	N	SCSSC	chimera	15.461372563414008	0.49997008475489785	0.8997019396518197	0.5178599645602343	30.924595360527807	Sc(1-42) Cg(45-112) Sc(100-250) Cg(464-533)
422	N	CCCSC	chimera	13.149215560327178	3.74265689310195	0.7651568252433341	3.8765762695043042	3.5133371655206638	Cg(1-282) Sc(177-250) Cg(464-533)
423	N	CSCSC	chimera	4.016594382922271	3.0277169890122337	0.23372684037514882	3.1360544569320554	1.3266082654021933	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-250) Cg(464-533)
424	N	SSCSC	chimera	10.840953024306177	1.6714200597972633	0.6308383310497526	1.7312266460026362	6.486073300820108	Sc(1-99) Cg(113-282) Sc(177-250) Cg(464-533)
425	N	SCCSC	chimera	11.300023587135327	1.5470585171436737	0.6575517857653952	1.6024152110088488	7.30419920249591	Sc(1-42) Cg45-282) Sc(177-250) Cg(464-533)
