date	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
01/25	A7	437	PHO2	8176	384522.5	766.5	8637	1098.85	12146.3	pass
01/25	A8	437	PHO2	7985	373054	502.5	6238	780.55	9014.2	pass
01/25	A9	194	PHO2	7900	424136	1509.5	20076	1849.05	25562.7	pass
01/25	A10	439	PHO2	7969	371405	556.5	9335	868.55	13753	pass
01/25	A11	439	PHO2	7906	376696	3357.5	8717	4961.95	12739.5	pass
01/25	A12	439	PHO2	7904	372086.5	4002.5	9179	6052.85	13662.7	pass
01/25	B2	435	pho2∆	7690	376065.5	1510.5	1903	2356.55	3021.1	pass
01/25	B3	435	pho2∆	7806	380780	1689.5	1913	2496.8500000000004	2945.8	pass
01/25	B4	435	pho2∆	7898	390631.5	1697.5	2196.5	2554.95	3403.9	pass
01/25	B6	437	pho2∆	7880	364315	760.5	670.5	1212.7499999999998	1049.9	pass
01/25	B7	437	pho2∆	8186	412033	2478.5	1023	3189.1500000000005	1344.6	pass
01/25	B8	437	pho2∆	7873	380861	711.5	539	1019.6499999999999	784.8	pass
01/25	B9	NA	pho2∆	7845	372367	116.5	481	229.45000000000005	723.3	pass
01/25	B10	439	pho2∆	7922	365749	1836.5	1019	2825.45	1558.9	pass
01/25	B11	439	pho2∆	7867	357129	2642.5	762	4104.6500000000005	1188.2	pass
01/25	B12	439	pho2∆	7761	349569	2784.5	756	4489.75	1247.1	pass
01/25	C1	194	PHO2	8035	408513	1413.5	15086	1865.1499999999999	20535.3	pass
01/25	C2	250	PHO2	7841	384410	1629.5	2382	2397.95	3489.2	pass
01/25	C3	250	PHO2	8096	393635	1474.5	1828	2097.25	2629.6	pass
01/25	C4	250	PHO2	8061	389834	1348.5	1962	1968.1499999999999	2864.5	pass
01/25	C5	194	PHO2	7873	431034	1590.5	19082	1900.6499999999999	23904	pass
01/25	C6	224	PHO2	7983	376397	121.5	410	222.75	606.6	no exn
01/25	C7	224	PHO2	8158	381521.5	556.5	712	795.55	1014.8	pass
01/25	C8	224	PHO2	7992	366927.5	145.5	421	272.54999999999995	634.9	no exn
01/25	C9	194	PHO2	8072	412836.5	1234.5	18398	1600.55	25098.9	pass
01/25	C10	278	PHO2	8252	351604.5	552.5	915	968.05	1427.7	pass
01/25	C11	278	PHO2	8137	364403	2620.5	1835	4025.05	2861.7	pass
01/25	C12	278	PHO2	8044	364375.5	4455.5	1686.5	6864.55	2506.2	pass
01/25	D1	NA	PHO2	7852	353822.5	68.5	385	204.95000000000005	619.1	pass
01/25	D2	250	pho2∆	7790	391375.5	2652	3569	4011.75	5301	pass
01/25	D3	250	pho2∆	7558	401774	2280	2891.5	3247.75	4221.1	pass
01/25	D4	250	pho2∆	7618	372532	2054.5	2955	3179.8500000000004	4525	pass
01/25	D6	224	pho2∆	8027	383299	1014.5	680	1413.2499999999998	977.7	pass
01/25	D7	224	pho2∆	7812	345233	483.5	483	891.75	799	pass
01/25	D8	224	pho2∆	8106	363025.5	485	572.5	781.95	865.4	pass
01/25	D10	278	pho2∆	7813	354189	634.5	603	1070.55	956	pass
01/25	D11	278	pho2∆	7660	357128.5	2802.5	739	4323.45	1154.3	pass
01/25	D12	278	pho2∆	7932	374990.5	2234.5	809	3231.1500000000005	1172.3	pass
01/25	E1	194	PHO2	8038	400670.5	1047	15078.5	1418.45	21007.4	pass
01/25	E2	436	PHO2	8038	411157	624.5	14888	791.1499999999999	20129.9	pass
01/25	E3	436	PHO2	8037	417114	710.5	16893	870.6499999999999	22276.7	pass
01/25	E4	436	PHO2	7967	406116	589.5	16679	758.6499999999999	22595.1	pass
01/25	E5	194	PHO2	7776	403218	1343.5	17691.5	1797.2499999999998	24379	pass
01/25	E6	438	PHO2	7780	369154.5	571.5	5533	889.6499999999999	8112.6	pass
01/25	E7	438	PHO2	7930	373914	512.5	5044.5	804.75	7438.4	pass
01/25	E8	438	PHO2	8163	351279	273.5	3738	523.8499999999999	5722.9	pass
01/25	E9	194	PHO2	7782	413561.5	1149.5	16538.5	1480.7499999999998	21970.9	pass
01/25	F1	NA	pho2∆	7673	375598	74.5	339	161.45000000000005	512	pass
01/25	F2	436	pho2∆	7711	363518	1105.5	1359	1824.6499999999999	2144.5	pass
01/25	F3	436	pho2∆	7872	376036	5241	7983	7694.45	11464.7	pass
01/25	F4	436	pho2∆	7761	366818	768.5	1139	1277.95	1716	pass
01/25	F5	NA	PHO2	8190	351033.5	12.5	157	132.04999999999995	264.1	pass
01/25	F6	438	pho2∆	7936	335635.5	726.5	389	1365.6499999999999	679.6	pass
01/25	F7	438	pho2∆	7977	365478	1623.5	554	2484.45	827.4	pass
01/25	F8	438	pho2∆	7922	342826	560.5	449	1033.25	761.5	pass
01/25	G1	194	PHO2	8083	410695	1130.5	14371	1493.2499999999998	19403.6	pass
01/25	G2	240	PHO2	7912	345797.5	1176	1368	2028.1499999999999	2146	pass
01/25	G3	240	PHO2	7784	352318	962.5	1506	1628.3500000000001	2327.3	pass
01/25	G4	240	PHO2	7763	349963	1040.5	1915	1745.3500000000001	2985.9	pass
01/25	G5	194	PHO2	7983	403000	1295.5	16260	1751.55	22207.1	pass
01/25	G6	229	PHO2	8043	364334	705.5	407	1060.45	609.5	pass
01/25	G7	229	PHO2	8056	365630.5	678.5	363	1029.55	542.2	pass
01/25	G8	229	PHO2	8031	350418	576.5	352	986.55	566.2	pass
01/25	G9	194	PHO2	7959	405875	1107.5	17214	1487.3500000000001	23742.4	pass
01/25	H2	240	pho2∆	7959	369457	1680.5	3337	2540.95	5120	pass
01/25	H3	240	pho2∆	8032	387713.5	1307	2805.5	1926.95	4186.3	pass
01/25	H4	240	pho2∆	7539	355508	1659.5	2982	2736.25	4760.5	pass
01/25	H5	NA	pho2∆	7613	368939	87.5	508	201.75	768.8	pass
01/25	H6	229	pho2∆	7730	368859	884.5	529	1295.8500000000001	782.7	pass
01/25	H7	229	pho2∆	7783	376725	1069.5	580	1495.45	846	pass
01/25	H8	229	pho2∆	7807	366579	815.5	433	1200.8500000000001	651.8	pass
01/25	H9	NA	PHO2	7707	355623	49.5	310	179.14999999999986	506	pass
01/26	A1	194	PHO2	8001	422149	1549.5	21797	1948.1499999999999	28118	pass
01/26	A2	440	PHO2	8061	433809	1054.5	18053	1212.05	21917	pass
01/26	A3	440	PHO2	8208	413872	851.5	14990	1047.05	19572.6	pass
01/26	A4	440	PHO2	8202	407433.5	869	15707.5	1072.35	20970.5	pass
01/26	A5	194	PHO2	8206	398939.5	1364.5	17169.5	1844.6499999999999	23920.5	pass
01/26	A6	442	PHO2	8037	387307	4822.5	9912	6823.45	13629	pass
01/26	A7	442	PHO2	7909	407779	5842.5	12278	7750.1500000000005	16188.8	pass
01/26	A8	442	PHO2	7827	395462	3586.5	11241	4964.6500000000005	15358.8	pass
01/26	A9	194	PHO2	7816	410033.5	5764	18487	7571.6500000000005	24715.3	unexpect
01/26	A10	445	PHO2	7922	356999.5	6105	523	9727.949999999999	805.6	pass
01/26	A11	445	PHO2	8123	379784	4444.5	617	6569.6500000000005	875.5	pass
01/26	A12	445	PHO2	8250	364008.5	1733	668	2775.25	1025.2	pass
01/26	B2	440	pho2∆	8030	406060	1588	4481.5	2179.1499999999996	6442.6	pass
01/26	B3	440	pho2∆	7927	382592	1908.5	4019	2857.05	5963.2	pass
01/26	B4	440	pho2∆	7758	383051	1519	2433.5	2288.6499999999996	3615.2	pass
01/26	B6	442	pho2∆	8355	397232	1643.5	1077	2044.2499999999998	1353.6	pass
01/26	B7	442	pho2∆	7676	388966.5	7354.5	2452	10813.75	3869.4	pass
01/26	B8	442	pho2∆	8092	357768	5363	2474	9331.65	4246.4	pass
01/26	B9	NA	pho2∆	7541	327947	2597.5	718	4354.1500000000005	1205	unexpect
01/26	B10	445	pho2∆	7946	370371.5	4729.5	600	7177.25	890.7	pass
01/26	B11	445	pho2∆	7701	370490	2564.5	631	3764.6500000000005	923.3	pass
01/26	B12	445	pho2∆	5726	375918.5	3297	1974.5	4731.55	2775	pass
01/26	C1	194	PHO2	8058	394738	1002.5	15379.5	1402.05	21607.2	pass
01/26	C2	253	PHO2	8748	407722.5	921.5	1407	1068.85	1749.7	pass
01/26	C3	253	PHO2	8394	387861	1251	2400	1768.8500000000001	3367.9	pass
01/26	C4	253	PHO2	8087	342582	1015.5	1646	1765.45	2576.4	pass
01/26	C5	194	PHO2	8064	402638	1049.5	13974	1405.6499999999999	19050.6	pass
01/26	C6	235	PHO2	8249	338119	3584.5	1098	6171.1500000000005	1748.4	pass
01/26	C7	235	PHO2	8183	367082	5453.5	1652	8275.849999999999	2446.8	pass
01/26	C8	235	PHO2	7974	341294	4126.5	1217	7229.05	2019.9	pass
01/26	C9	194	PHO2	8343	427662	4768.5	13263	6104.6500000000005	16916.7	unexpect
01/26	D1	NA	PHO2	8020	314525	-95.5	315.5	71.04999999999995	595.5	pass
01/26	D2	253	pho2∆	8011	400280	1650.5	3949	2271.8500000000004	5576.9	pass
01/26	D3	253	pho2∆	7911	407258	2254.5	5275	3119.1499999999996	7375.2	pass
01/26	D4	253	pho2∆	7926	362426.5	1440	3181	2261.45	4844	pass
01/26	D6	235	pho2∆	8344	391785.5	5678	2300	8392.949999999999	3567.3	pass
01/26	D7	235	pho2∆	7730	360494	6787	3784	10670.65	5921.9	pass
01/26	D8	235	pho2∆	8074	361199.5	4525	2547.5	7621.750000000001	4196.2	pass
01/26	E1	194	PHO2	8220	429175	1306.5	16646	1589.2499999999998	21569.5	pass
01/26	E2	441	PHO2	8216	394304.5	349	10721	493.25	15002.5	pass
01/26	E3	441	PHO2	8230	421067	527.5	15364	646.55	20539.6	pass
01/26	E4	441	PHO2	8033	413131	536.5	15209	666.55	20627.8	pass
01/26	E5	194	PHO2	8157	426146	1228.5	19803	1504.95	26144	pass
01/26	E6	443	PHO2	8778	382932.5	911.5	380	1283.6499999999999	538.7	pass
01/26	E7	443	PHO2	7980	368824	1357	609	1973.95	898.0999999999999	pass
01/26	E8	443	PHO2	8026	360345	3810	224	5885.85	356.6	pass
01/26	E9	194	PHO2	8044	408985.5	998.5	15107	1289.95	20460.7	pass
01/26	F1	NA	pho2∆	7979	335464	-62.5	289	66.54999999999995	504.1	pass
01/26	F2	441	pho2∆	8161	368931	514.5	917	889.25	1386.7	pass
01/26	F3	441	pho2∆	8078	346048.5	727	946	1334.3500000000001	1537.7	pass
01/26	F4	441	pho2∆	7786	368583	672	1268.5	1118.05	1933.6	pass
01/26	F5	NA	PHO2	7833	316297	-15.5	491	188.3499999999999	914	pass
01/26	F6	443	pho2∆	7972	394274.5	1542	650	1943.6499999999999	878.9	pass
01/26	F7	443	pho2∆	6580	390645.5	2622.5	992	3914.95	1460.2	pass
01/26	F8	443	pho2∆	6944	385105	4227	722	5687.05	1001.5	pass
01/26	F10	194	pho2∆	8007	382343	1101.5	618	1504.45	864.1	pass
01/26	F11	194	pho2∆	7879	371341	794.5	512	1154.45	738.3	pass
01/26	F12	194	pho2∆	7959	386836	878.5	534	1200.8500000000001	747.4	pass
01/26	G1	194	PHO2	8173	440637	1453.5	17477	1700.6499999999999	21702.2	pass
01/26	G2	216	PHO2	8175	350467	649.5	811	1118.6499999999999	1251.4	pass
01/26	G3	216	PHO2	8187	346602	516.5	800	976.95	1284.8	pass
01/26	G4	216	PHO2	8054	351989	731.5	1011	1242.1499999999999	1562.8	pass
01/26	G5	194	PHO2	8267	422455	953.5	13701	1172.8500000000001	18115.2	pass
01/26	G6	444	PHO2	8036	350039.5	1049	908.5	1785.45	1468.3	pass
01/26	G7	444	PHO2	8016	366185	2188.5	1987.5	3349.3500000000004	2952.4	pass
01/26	G8	444	PHO2	7916	361823.5	1202.5	1224.5	1940.45	1874.5	pass
01/26	G9	194	PHO2	8048	420526	1177.5	16520.5	1492.1499999999999	21974.9	pass
01/26	G10	188	PHO2	7773	381264	595.5	9408	884.75	13521.5	pass
01/26	G11	188	PHO2	8041	371906	486.5	7627	789.75	11265.7	pass
01/26	G12	188	PHO2	7855	387141	635.5	8613	924.45	12328.8	pass
01/26	H2	216	pho2∆	8065	352720	538.5	1433	954.6499999999999	2439.1	pass
01/26	H3	216	pho2∆	7845	345160	655.5	1334	1278.95	2361.5	pass
01/26	H4	216	pho2∆	7713	347887	1242.5	2884	2188.55	4765.9	pass
01/26	H5	NA	pho2∆	5352	333893	-3.5	656	138.3499999999999	1105.6	pass
01/26	H6	444	pho2∆	7646	359866	1700.5	1350.5	2765.1499999999996	2171.5	pass
01/26	H7	444	pho2∆	7612	350394	1835.5	1545.5	3066.3500000000004	2523.2	pass
01/26	H8	444	pho2∆	7599	348391	2394.5	1813	3959.3500000000004	2916.3	pass
01/26	H9	NA	PHO2	7727	336226	-12.5	491	137.25	828.9	pass
01/26	H10	188	pho2∆	7537	362268	528.5	7814	907.45	12004.1	pass
